datetime,nav
2013-08-23,1
2013-08-30,1
2013-09-06,1
2013-09-13,0.997
2013-09-18,1.001
2013-09-26,1.014
2013-09-27,1.025
2013-09-30,1.03
2013-10-08,1.032
2013-10-09,1.037
2013-10-10,1.026
2013-10-11,1.035
2013-10-14,1.034
2013-10-15,1.045
2013-10-16,1.026
2013-10-17,1.02
2013-10-18,1.021
2013-10-21,1.044
2013-10-22,1.037
2013-10-23,1.015
2013-10-24,1.013
2013-10-25,0.991
2013-10-28,0.987
2013-10-29,0.969
2013-10-30,0.982
2013-10-31,0.967
2013-11-01,0.969
2013-11-04,0.966
2013-11-06,0.96
2013-11-07,0.945
2013-11-08,0.932
2013-11-11,0.952
2013-11-12,0.965
2013-11-13,0.95
2013-11-14,0.965
2013-11-15,0.977
2013-11-19,0.988
2013-11-20,0.992
2013-11-21,0.987
2013-11-22,0.982
2013-11-25,0.986
2013-11-26,0.988
2013-11-27,0.995
2013-11-28,1.003
2013-11-29,1.014
2013-12-02,0.969
2013-12-03,0.989
2013-12-04,0.999
2013-12-05,0.999
2013-12-06,0.997
2013-12-09,1.003
2013-12-10,0.999
2013-12-11,0.989
2013-12-12,0.996
2013-12-13,1.001
2013-12-16,0.988
2013-12-17,0.993
2013-12-18,1.001
2013-12-19,0.999
2013-12-20,0.995
2013-12-23,1.023
2013-12-24,1.019
2013-12-25,1.022
2013-12-26,1.015
2013-12-27,1.023
2013-12-30,1.025
2013-12-31,1.03
2014-01-02,1.046
2014-01-03,1.042
2014-01-06,1.021
2014-01-08,1.041
2014-01-09,1.032
2014-01-10,1.013
2014-01-13,1.01
2014-01-14,1.026
2014-01-15,1.038
2014-01-16,1.035
2014-01-17,1.022
2014-01-20,1.01
2014-01-21,1.016
2014-01-22,1.035
2014-01-23,1.039
2014-01-24,1.056
2014-01-27,1.05
2014-01-28,1.052
2014-01-29,1.061
2014-01-30,1.059
2014-02-07,1.068
2014-02-10,1.094
2014-02-11,1.096
2014-02-12,1.109
2014-02-13,1.089
2014-02-14,1.111
2014-02-17,1.131
2014-02-18,1.134
2014-02-19,1.139
2014-02-20,1.123
2014-02-21,1.121
2014-02-24,1.14
2014-02-25,1.111
2014-02-26,1.12
2014-02-27,1.088
2014-02-28,1.083
2014-03-03,1.102
2014-03-04,1.099
2014-03-05,1.093
2014-03-06,1.089
2014-03-07,1.098
2014-03-10,1.066
2014-03-11,1.066
2014-03-12,1.066
2014-03-13,1.081
2014-03-14,1.077
2014-03-17,1.099
2014-03-18,1.105
2014-03-19,1.102
2014-03-20,1.075
2014-03-21,1.084
2014-03-24,1.083
2014-03-25,1.079
2014-03-26,1.09
2014-03-27,1.071
2014-03-28,1.042
2014-03-31,1.036
2014-04-01,1.048
2014-04-02,1.039
2014-04-03,1.036
2014-04-04,1.048
2014-04-08,1.06
2014-04-09,1.069
2014-04-10,1.073
2014-04-11,1.073
2014-04-14,1.08
2014-04-15,1.079
2014-04-16,1.075
2014-04-17,1.072
2014-04-21,1.064
2014-04-22,1.052
2014-04-23,1.046
2014-04-24,1.031
2014-04-25,1.015
2014-04-28,0.984
2014-04-29,0.995
2014-04-30,1.006
2014-05-05,1.014
2014-05-06,1.019
2014-05-07,1.008
2014-05-08,1.006
2014-05-09,0.994
2014-05-12,1.006
2014-05-13,1.004
2014-05-14,1.007
2014-05-15,0.996
2014-05-16,0.986
2014-05-19,0.98
2014-05-20,0.983
2014-05-21,0.99
2014-05-22,0.995
2014-05-23,1.005
2014-05-26,1.025
2014-05-27,1.021
2014-05-28,1.034
2014-05-29,1.03
2014-05-30,1.028
2014-06-03,1.028
2014-06-04,1.019
2014-06-05,1.029
2014-06-06,1.031
2014-06-09,1.026
2014-06-10,1.033
2014-06-11,1.043
2014-06-12,1.039
2014-06-13,1.046
2014-06-16,1.045
2014-06-17,1.035
2014-06-18,1.029
2014-06-19,1.01
2014-06-20,1.018
2014-06-23,1.028
2014-06-24,1.036
2014-06-25,1.032
2014-06-26,1.046
2014-06-27,1.049
2014-06-30,1.057
2014-07-01,1.065
2014-07-02,1.073
2014-07-03,1.094
2014-07-04,1.087
2014-07-07,1.082
2014-07-08,1.088
2014-07-09,1.071
2014-07-10,1.073
2014-07-11,1.076
2014-07-14,1.083
2014-07-15,1.081
2014-07-16,1.07
2014-07-17,1.065
2014-07-18,1.065
2014-07-21,1.066
2014-07-22,1.077
2014-07-23,1.059
2014-07-24,1.051
2014-07-25,1.058
2014-07-28,1.073
2014-07-29,1.08
2014-07-30,1.089
2014-07-31,1.095
2014-08-01,1.099
2014-08-04,1.105
2014-08-05,1.11
2014-08-06,1.114
2014-08-07,1.104
2014-08-08,1.107
2014-08-11,1.123
2014-08-12,1.123
2014-08-13,1.117
2014-08-14,1.111
2014-08-15,1.12
2014-08-18,1.135
2014-08-19,1.134
2014-08-20,1.135
2014-08-21,1.134
2014-08-22,1.144
2014-08-25,1.139
2014-08-26,1.121
2014-08-27,1.12
2014-08-28,1.11
2014-08-29,1.12
2014-09-01,1.135
2014-09-02,1.145
2014-09-03,1.152
2014-09-04,1.157
2014-09-05,1.164
2014-09-09,1.171
2014-09-10,1.171
2014-09-11,1.168
2014-09-12,1.177
2014-09-15,1.185
2014-09-16,1.152
2014-09-17,1.16
2014-09-18,1.175
2014-09-19,1.184
2014-09-22,1.174
2014-09-23,1.183
2014-09-24,1.191
2014-09-25,1.188
2014-09-26,1.192
2014-09-29,1.201
2014-09-30,1.209
2014-10-08,1.238
2014-10-09,1.235
2014-10-10,1.237
2014-10-13,1.245
2014-10-14,1.239
2014-10-15,1.258
2014-10-16,1.248
2014-10-17,1.235
2014-10-20,1.248
2014-10-21,1.233
2014-10-22,1.214
2014-10-23,1.198
2014-10-24,1.202
2014-10-27,1.214
2014-10-28,1.233
2014-10-29,1.236
2014-10-30,1.242
2014-10-31,1.233
2014-11-03,1.231
2014-11-04,1.217
2014-11-05,1.216
2014-11-06,1.223
2014-11-07,1.212
2014-11-10,1.215
2014-11-11,1.185
2014-11-12,1.196
2014-11-13,1.18
2014-11-14,1.183
2014-11-17,1.198
2014-11-18,1.196
2014-11-19,1.203
2014-11-20,1.197
2014-11-21,1.202
2014-11-24,1.202
2014-11-25,1.215
2014-11-26,1.219
2014-11-27,1.226
2014-11-28,1.223
2014-12-01,1.22
2014-12-02,1.228
2014-12-03,1.236
2014-12-04,1.251
2014-12-05,1.228
2014-12-08,1.226
2014-12-09,1.19
2014-12-10,1.225
2014-12-11,1.234
2014-12-12,1.239
2014-12-15,1.264
2014-12-16,1.26
2014-12-17,1.239
2014-12-18,1.231
2014-12-19,1.214
2014-12-22,1.169
2014-12-23,1.159
2014-12-24,1.176
2014-12-25,1.183
2014-12-26,1.19
2014-12-29,1.168
2014-12-30,1.161
2014-12-31,1.167
2015-01-05,1.173
2015-01-06,1.209
2015-01-07,1.2
2015-01-08,1.201
2015-01-09,1.199
2015-01-12,1.197
2015-01-13,1.212
2015-01-14,1.21
2015-01-15,1.21
2015-01-16,1.221
2015-01-19,1.207
2015-01-20,1.248
2015-01-21,1.268
2015-01-22,1.283
2015-01-23,1.267
2015-01-26,1.287
2015-01-27,1.289
2015-01-28,1.288
2015-01-29,1.269
2015-01-30,1.26
2015-02-02,1.26
2015-02-03,1.274
2015-02-04,1.262
2015-02-05,1.256
2015-02-06,1.242
2015-02-09,1.233
2015-02-10,1.244
2015-02-11,1.261
2015-02-12,1.266
2015-02-13,1.288
2015-02-16,1.312
2015-02-17,1.314
2015-02-25,1.319
2015-02-26,1.317
2015-02-27,1.322
2015-03-02,1.344
2015-03-03,1.34
2015-03-04,1.386
2015-03-05,1.395
2015-03-06,1.361
2015-03-09,1.38
2015-03-10,1.401
2015-03-11,1.386
2015-03-12,1.381
2015-03-13,1.399
2015-03-16,1.447
2015-03-17,1.455
2015-03-18,1.477
2015-03-19,1.477
2015-03-20,1.492
2015-03-23,1.526
2015-03-24,1.537
2015-03-25,1.562
2015-03-26,1.542
2015-03-27,1.561
2015-03-30,1.574
2015-03-31,1.592
2015-04-01,1.634
2015-04-02,1.657
2015-04-03,1.676
2015-04-07,1.72
2015-04-08,1.7
2015-04-09,1.699
2015-04-10,1.761
2015-04-13,1.842
2015-04-14,1.853
2015-04-15,1.785
2015-04-16,1.815
2015-04-17,1.798
2015-04-20,1.733
2015-04-21,1.796
2015-04-22,1.836
2015-04-23,1.85
2015-04-24,1.848
2015-04-27,1.853
2015-04-28,1.795
2015-04-29,1.827
2015-04-30,1.834
2015-05-04,1.83
2015-05-05,1.78
2015-05-07,1.75
2015-05-08,1.817
2015-05-11,1.896
2015-05-12,1.93
2015-05-13,1.944
2015-05-14,1.945
2015-05-15,1.932
2015-05-18,1.99
2015-05-19,2.024
2015-05-20,2.055
2015-05-21,2.148
2015-05-22,2.155
2015-05-25,2.198
2015-05-26,2.26
2015-05-27,2.274
2015-05-28,2.151
2015-05-29,2.193
2015-06-01,2.318
2015-06-02,2.403
2015-06-03,2.406
2015-06-04,2.383
2015-06-05,2.403
2015-06-08,2.353
2015-06-09,2.335
2015-06-10,2.386
2015-06-11,2.439
2015-06-12,2.463
2015-06-15,2.392
2015-06-16,2.319
2015-06-17,2.356
2015-06-18,2.263
2015-06-19,2.126
2015-06-23,2.175
2015-06-24,2.213
2015-06-25,2.119
2015-06-26,1.937
2015-06-29,1.814
2015-06-30,1.928
2015-07-01,1.847
2015-07-02,1.746
2015-07-03,1.674
2015-07-06,1.647
2015-07-07,1.523
2015-07-08,1.473
2015-07-09,1.531
2015-07-10,1.6
2015-07-13,1.696
2015-07-14,1.746
2015-07-15,1.661
2015-07-16,1.701
2015-07-17,1.796
2015-07-20,1.814
2015-07-21,1.842
2015-07-22,1.854
2015-07-23,1.903
2015-07-24,1.857
2015-07-27,1.713
2015-07-28,1.691
2015-07-29,1.762
2015-07-30,1.693
2015-07-31,1.692
2015-08-03,1.657
2015-08-04,1.739
2015-08-05,1.727
2015-08-06,1.709
2015-08-07,1.754
2015-08-10,1.835
2015-08-11,1.832
2015-08-12,1.802
2015-08-13,1.829
2015-08-14,1.846
2015-08-17,1.872
2015-08-18,1.744
2015-08-19,1.783
2015-08-20,1.725
2015-08-21,1.637
2015-08-24,1.502
2015-08-25,1.389
2015-08-26,1.369
2015-08-27,1.429
2015-08-28,1.509
2015-08-31,1.462
2015-09-01,1.39
2015-09-02,1.39
2015-09-07,1.391
2015-09-08,1.453
2015-09-09,1.484
2015-09-10,1.466
2015-09-11,1.465
2015-09-14,1.378
2015-09-15,1.324
2015-09-16,1.417
2015-09-17,1.384
2015-09-18,1.395
2015-09-21,1.444
2015-09-22,1.454
2015-09-23,1.433
2015-09-24,1.455
2015-09-25,1.412
2015-09-28,1.444
2015-09-29,1.419
2015-09-30,1.42
2015-10-08,1.485
2015-10-09,1.496
2015-10-12,1.544
2015-10-13,1.552
2015-10-14,1.535
2015-10-15,1.57
2015-10-16,1.579
2015-10-19,1.569
2015-10-20,1.598
2015-10-21,1.54
2015-10-22,1.614
2015-10-23,1.675
2015-10-26,1.664
2015-10-27,1.678
2015-10-28,1.635
2015-10-29,1.646
2015-10-30,1.64
2015-11-02,1.612
2015-11-03,1.605
2015-11-04,1.679
2015-11-05,1.669
2015-11-06,1.696
2015-11-09,1.719
2015-11-10,1.719
2015-11-11,1.756
2015-11-12,1.767
2015-11-13,1.723
2015-11-16,1.747
2015-11-17,1.729
2015-11-18,1.705
2015-11-19,1.737
2015-11-20,1.744
2015-11-23,1.736
2015-11-24,1.749
2015-11-25,1.779
2015-11-26,1.759
2015-11-27,1.665
2015-11-30,1.668
2015-12-01,1.681
2015-12-02,1.678
2015-12-03,1.708
2015-12-04,1.698
2015-12-07,1.721
2015-12-08,1.685
2015-12-09,1.673
2015-12-10,1.678
2015-12-11,1.667
2015-12-14,1.692
2015-12-15,1.715
2015-12-16,1.72
2015-12-17,1.755
2015-12-18,1.765
2015-12-21,1.801
2015-12-22,1.802
2015-12-23,1.804
2015-12-24,1.796
2015-12-25,1.807
2015-12-28,1.768
2015-12-29,1.779
2015-12-30,1.791
2015-12-31,1.769
2016-01-04,1.631
2016-01-05,1.613
2016-01-06,1.641
2016-01-07,1.515
2016-01-08,1.54
2016-01-11,1.445
2016-01-12,1.455
2016-01-13,1.409
2016-01-14,1.46
2016-01-15,1.416
2016-01-18,1.438
2016-01-19,1.487
2016-01-20,1.471
2016-01-21,1.431
2016-01-22,1.441
2016-01-25,1.45
2016-01-26,1.35
2016-01-27,1.343
2016-01-28,1.297
2016-01-29,1.338
2016-02-01,1.325
2016-02-02,1.367
2016-02-03,1.368
2016-02-04,1.398
2016-02-05,1.39
2016-02-15,1.402
2016-02-16,1.449
2016-02-17,1.457
2016-02-18,1.449
2016-02-19,1.453
2016-02-22,1.474
2016-02-23,1.466
2016-02-24,1.465
2016-02-25,1.37
2016-02-26,1.376
2016-02-29,1.313
2016-03-01,1.335
2016-03-02,1.385
2016-03-03,1.385
2016-03-04,1.349
2016-03-07,1.368
2016-03-08,1.376
2016-03-09,1.361
2016-03-10,1.341
2016-03-11,1.339
2016-03-14,1.378
2016-03-15,1.374
2016-03-16,1.362
2016-03-17,1.4
2016-03-18,1.44
2016-03-21,1.467
2016-03-22,1.465
2016-03-23,1.468
2016-03-24,1.447
2016-03-25,1.456
2016-03-28,1.453
2016-03-29,1.423
2016-03-30,1.475
2016-03-31,1.476
2016-04-01,1.465
2016-04-05,1.498
2016-04-06,1.51
2016-04-07,1.491
2016-04-08,1.483
2016-04-11,1.527
2016-04-12,1.51
2016-04-13,1.523
2016-04-14,1.532
2016-04-15,1.525
2016-04-18,1.5
2016-04-19,1.503
2016-04-20,1.442
2016-04-21,1.43
2016-04-22,1.445
2016-04-25,1.439
2016-04-26,1.454
2016-04-27,1.45
2016-04-28,1.446
2016-04-29,1.447
2016-05-03,1.486
2016-05-04,1.489
2016-05-05,1.491
2016-05-06,1.444
2016-05-09,1.404
2016-05-10,1.405
2016-05-11,1.425
2016-05-12,1.421
2016-05-13,1.415
2016-05-16,1.435
2016-05-17,1.44
2016-05-18,1.406
2016-05-19,1.407
2016-05-20,1.419
2016-05-23,1.43
2016-05-24,1.417
2016-05-25,1.41
2016-05-26,1.413
2016-05-27,1.41
2016-05-30,1.402
2016-05-31,1.451
2016-06-01,1.452
2016-06-02,1.457
2016-06-03,1.475
2016-06-06,1.474
2016-06-07,1.472
2016-06-08,1.463
2016-06-13,1.405
2016-06-14,1.409
2016-06-15,1.439
2016-06-16,1.425
2016-06-17,1.447
2016-06-20,1.45
2016-06-21,1.438
2016-06-22,1.456
2016-06-23,1.453
2016-06-24,1.441
2016-06-27,1.47
2016-06-28,1.501
2016-06-29,1.499
2016-06-30,1.503
2016-07-01,1.496
2016-07-04,1.517
2016-07-05,1.518
2016-07-06,1.535
2016-07-07,1.551
2016-07-08,1.545
2016-07-11,1.544
2016-07-12,1.579
2016-07-13,1.581
2016-07-14,1.578
2016-07-15,1.576
2016-07-18,1.573
2016-07-20,1.572
2016-07-21,1.574
2016-07-22,1.562
2016-07-25,1.567
2016-07-26,1.592
2016-07-27,1.552
2016-07-28,1.562
2016-07-29,1.563
2016-08-01,1.535
2016-08-02,1.546
2016-08-03,1.549
2016-08-04,1.55
2016-08-05,1.543
2016-08-08,1.556
2016-08-09,1.568
2016-08-10,1.563
2016-08-11,1.545
2016-08-12,1.558
2016-08-15,1.587
2016-08-16,1.594
2016-08-17,1.593
2016-08-18,1.587
2016-08-19,1.591
2016-08-22,1.583
2016-08-23,1.593
2016-08-24,1.595
2016-08-25,1.589
2016-08-26,1.598
2016-08-29,1.603
2016-08-30,1.599
2016-08-31,1.601
2016-09-01,1.591
2016-09-02,1.585
2016-09-05,1.588
2016-09-06,1.605
2016-09-07,1.607
2016-09-08,1.613
2016-09-09,1.604
2016-09-12,1.569
2016-09-13,1.572
2016-09-14,1.568
2016-09-19,1.582
2016-09-20,1.579
2016-09-21,1.581
2016-09-22,1.589
2016-09-23,1.587
2016-09-26,1.56
2016-09-27,1.569
2016-09-28,1.567
2016-09-29,1.57
2016-09-30,1.578
2016-10-10,1.61
2016-10-11,1.613
2016-10-12,1.613
2016-10-13,1.612
2016-10-14,1.61
2016-10-17,1.6
2016-10-18,1.617
2016-10-19,1.612
2016-10-20,1.609
2016-10-21,1.602
2016-10-24,1.612
2016-10-25,1.61
2016-10-26,1.608
2016-10-27,1.603
2016-10-28,1.593
2016-10-31,1.592
2016-11-01,1.606
2016-11-02,1.6
2016-11-03,1.604
2016-11-04,1.6
2016-11-07,1.594
2016-11-08,1.601
2016-11-09,1.59
2016-11-10,1.606
2016-11-11,1.603
2016-11-14,1.604
2016-11-15,1.612
2016-11-16,1.612
2016-11-17,1.611
2016-11-18,1.607
2016-11-21,1.607
2016-11-22,1.608
2016-11-23,1.607
2016-11-24,1.607
2016-11-25,1.607
2016-11-28,1.607
2016-11-29,1.608
2016-11-30,1.609
2016-12-01,1.611
2016-12-02,1.598
2016-12-05,1.593
2016-12-06,1.593
2016-12-07,1.599
2016-12-08,1.593
2016-12-09,1.589
2016-12-12,1.55
2016-12-13,1.548
2016-12-14,1.54
2016-12-15,1.541
2016-12-16,1.551
2016-12-19,1.55
2016-12-20,1.551
2016-12-21,1.557
2016-12-22,1.556
2016-12-23,1.548
2016-12-26,1.551
2016-12-27,1.551
2016-12-28,1.549
2016-12-29,1.546
2016-12-30,1.549
2016-12-31,1.549
2017-01-03,1.555
2017-01-04,1.561
2017-01-05,1.559
2017-01-06,1.552
2017-01-09,1.556
2017-01-10,1.554
2017-01-11,1.548
2017-01-12,1.541
2017-01-13,1.532
2017-01-16,1.511
2017-01-17,1.516
2017-01-18,1.514
2017-01-19,1.512
2017-01-20,1.524
2017-01-23,1.528
2017-01-24,1.524
2017-01-25,1.53
2017-01-26,1.534
2017-02-03,1.532
2017-02-06,1.54
2017-02-07,1.539
2017-02-08,1.543
2017-02-09,1.547
2017-02-10,1.544
2017-02-13,1.549
2017-02-14,1.547
2017-02-15,1.541
2017-02-16,1.543
2017-02-17,1.536
2017-02-20,1.544
2017-02-21,1.55
2017-02-22,1.552
2017-02-23,1.564
2017-02-24,1.565
2017-02-27,1.558
2017-02-28,1.558
2017-03-01,1.559
2017-03-02,1.554
2017-03-03,1.556
2017-03-06,1.562
2017-03-07,1.566
2017-03-08,1.562
2017-03-09,1.555
2017-03-10,1.556
2017-03-13,1.563
2017-03-14,1.563
2017-03-15,1.563
2017-03-16,1.569
2017-03-17,1.563
2017-03-20,1.569
2017-03-21,1.574
2017-03-22,1.578
2017-03-23,1.578
2017-03-24,1.582
2017-03-27,1.575
2017-03-28,1.574
2017-03-29,1.565
2017-03-30,1.549
2017-03-31,1.556
2017-04-05,1.566
2017-04-06,1.565
2017-04-07,1.564
2017-04-10,1.555
2017-04-11,1.553
2017-04-12,1.551
2017-04-13,1.556
2017-04-14,1.548
2017-04-17,1.544
2017-04-18,1.544
2017-04-19,1.539
2017-04-20,1.55
2017-04-21,1.549
2017-04-24,1.535
2017-04-25,1.535
2017-04-26,1.536
2017-04-27,1.538
2017-04-28,1.536
2017-05-02,1.534
2017-05-03,1.532
2017-05-04,1.529
2017-05-05,1.521
2017-05-08,1.51
2017-05-09,1.512
2017-05-10,1.5
2017-05-11,1.497
2017-05-12,1.499
2017-05-15,1.505
2017-05-16,1.521
2017-05-17,1.52
2017-05-19,1.519
2017-05-22,1.513
2017-05-23,1.504
2017-05-24,1.508
2017-05-25,1.511
2017-05-26,1.511
2017-05-31,1.508
2017-06-01,1.502
2017-06-02,1.503
2017-06-05,1.504
2017-06-06,1.508
2017-06-07,1.522
2017-06-08,1.526
2017-06-09,1.527
2017-06-12,1.524
2017-06-13,1.531
2017-06-14,1.526
2017-06-15,1.532
2017-06-16,1.528
2017-06-19,1.533
2017-06-20,1.53
2017-06-21,1.537
2017-06-22,1.525
2017-06-23,1.528
2017-06-26,1.541
2017-06-27,1.545
2017-06-28,1.538
2017-06-29,1.544
2017-06-30,1.547
2017-07-03,1.551
2017-07-04,1.542
2017-07-05,1.546
2017-07-06,1.54
2017-07-07,1.537
2017-07-10,1.531
2017-07-11,1.527
2017-07-12,1.523
2017-07-13,1.528
2017-07-14,1.522
2017-07-17,1.491
2017-07-18,1.489
2017-07-19,1.498
2017-07-20,1.497
2017-07-21,1.495
2017-07-24,1.497
2017-07-25,1.4962
2017-07-26,1.4899
2017-07-27,1.499
2017-07-28,1.4984
2017-07-31,1.5039
2017-08-01,1.5039
2017-08-02,1.497
2017-08-03,1.4961
2017-08-04,1.4923
2017-08-07,1.5013
2017-08-08,1.5053
2017-08-09,1.5134
2017-08-10,1.5088
2017-08-11,1.5023
2017-08-14,1.5139
2017-08-15,1.5138
2017-08-16,1.5173
2017-08-17,1.5199
2017-08-18,1.5199
2017-08-21,1.5244
2017-08-22,1.5212
2017-08-23,1.5162
2017-08-24,1.51
2017-08-25,1.5161
2017-08-28,1.523
2017-08-29,1.5187
2017-08-30,1.5213
2017-08-31,1.5227
2017-09-01,1.5247
2017-09-04,1.5268
2017-09-05,1.5318
2017-09-06,1.5311
2017-09-07,1.5303
2017-09-08,1.5341
2017-09-11,1.5323
2017-09-12,1.5296
2017-09-13,1.5323
2017-09-14,1.5337
2017-09-15,1.5316
2017-09-18,1.5359
2017-09-19,1.5348
2017-09-20,1.5379
2017-09-21,1.5327
2017-09-22,1.5287
2017-09-25,1.5315
2017-09-26,1.5288
2017-09-27,1.5296
2017-09-28,1.5306
2017-09-29,1.5343
2017-10-09,1.5441
2017-10-10,1.5699
2017-10-11,1.5719
2017-10-12,1.5706
2017-10-13,1.5742
2017-10-16,1.5588
2017-10-17,1.5619
2017-10-18,1.5693
2017-10-19,1.5748
2017-10-20,1.5738
2017-10-23,1.5887
2017-10-24,1.5903
2017-10-25,1.5989
2017-10-26,1.5928
2017-10-27,1.5937
2017-10-30,1.5811
2017-10-31,1.5825
2017-11-01,1.5798
2017-11-02,1.5797
2017-11-03,1.5747
2017-11-06,1.5988
2017-11-07,1.6004
2017-11-08,1.5936
2017-11-09,1.5997
2017-11-10,1.6033
2017-11-13,1.6089
2017-11-14,1.5978
2017-11-15,1.595
2017-11-16,1.6077
2017-11-17,1.5836
2017-11-20,1.5914
2017-11-21,1.5924
2017-11-22,1.586
2017-11-23,1.5578
2017-11-24,1.557
2017-11-27,1.5458
2017-11-28,1.555
2017-11-29,1.5481
2017-11-30,1.5452
2017-12-01,1.5531
2017-12-04,1.5478
2017-12-05,1.5353
2017-12-06,1.5409
2017-12-07,1.5387
2017-12-08,1.5457
2017-12-11,1.5629
2017-12-12,1.5574
2017-12-13,1.5623
2017-12-14,1.5619
2017-12-15,1.5564
2017-12-18,1.5491
2017-12-19,1.5569
2017-12-20,1.553
2017-12-21,1.5599
2017-12-22,1.561
2017-12-25,1.5582
2017-12-26,1.5581
2017-12-27,1.5459
2017-12-28,1.5467
2017-12-29,1.5568
2017-12-31,1.5568
2018-01-02,1.5623
2018-01-03,1.5681
2018-01-04,1.5705
2018-01-05,1.5715
2018-01-08,1.571
2018-01-09,1.5806
2018-01-10,1.5729
2018-01-11,1.5742
2018-01-12,1.5741
2018-01-15,1.5618
2018-01-16,1.5669
2018-01-17,1.5633
2018-01-18,1.5624
2018-01-19,1.5577
2018-01-22,1.5682
2018-01-23,1.5661
2018-01-24,1.5739
2018-01-25,1.5686
2018-01-26,1.5676
2018-01-29,1.5509
2018-01-30,1.5512
2018-01-31,1.5393
2018-02-01,1.5143
2018-02-02,1.5128
2018-02-05,1.5034
2018-02-06,1.4665
2018-02-07,1.4635
2018-02-08,1.4757
2018-02-09,1.4515
2018-02-12,1.4738
2018-02-13,1.4801
2018-02-14,1.4834
2018-02-22,1.4977
2018-02-23,1.4977
2018-02-26,1.5149
2018-02-27,1.5142
2018-02-28,1.5142
2018-03-01,1.5254
2018-03-02,1.5229
2018-03-05,1.5316
2018-03-06,1.5486
2018-03-07,1.5433
2018-03-08,1.5626
2018-03-09,1.5703
2018-03-12,1.578
2018-03-13,1.5651
2018-03-14,1.5582
2018-03-15,1.5567
2018-03-16,1.5569
2018-03-19,1.572
2018-03-20,1.5974
2018-03-21,1.5855
2018-03-22,1.5771
2018-03-23,1.5441
2018-03-26,1.5712
2018-03-27,1.5901
2018-03-28,1.5848
2018-03-29,1.5813
2018-03-30,1.6069
2018-04-02,1.6057
2018-04-03,1.6046
2018-04-04,1.6017
2018-04-09,1.6046
2018-04-10,1.6108
2018-04-11,1.6103
2018-04-12,1.6153
2018-04-13,1.6005
2018-04-16,1.6017
2018-04-17,1.5783
2018-04-18,1.587
2018-04-19,1.5903
2018-04-20,1.5776
2018-04-23,1.5668
2018-04-24,1.5901
2018-04-25,1.612
2018-04-26,1.5976
2018-04-27,1.6182
2018-05-02,1.6299
2018-05-03,1.6258
2018-05-04,1.641
2018-05-07,1.662
2018-05-08,1.658
2018-05-09,1.6586
2018-05-10,1.6778
2018-05-11,1.6522
2018-05-14,1.65
2018-05-15,1.6696
2018-05-16,1.6797
2018-05-17,1.6655
2018-05-18,1.6634
2018-05-21,1.6687
2018-05-22,1.689
2018-05-23,1.682
2018-05-24,1.6886
2018-05-25,1.69
2018-05-28,1.695
2018-05-29,1.6638
2018-05-30,1.6432
2018-05-31,1.6695
2018-06-01,1.6376
2018-06-04,1.6346
2018-06-05,1.6622
2018-06-06,1.6685
2018-06-07,1.6568
2018-06-08,1.6515
2018-06-11,1.6282
2018-06-12,1.6435
2018-06-13,1.6254
2018-06-14,1.6205
